Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
UnderArmour,Expired $30 Off $100 Outlet Only @ Under Armour,"Under Armour offers the $30 off $100 Outlet Only via coupon code ""ARMOUR30"".
Free shipping.
Deal ends 11/26
$38.50 $55.00
Under Armour Women's Armour Fleece® Big Logo Hoodie | Under Armour US
$26.99 $34.99
Under Armour Men's UA HeatGear® Armour Long Sleeve Compression Shirt | Under Armour US
$31.49 $44.99
Under Armour Men's UA Rival Fleece Fitted Graphic Hoodie | Under Armour US",11/24/2018,11/26/2018,1,69,22
UnderArmour,Expired All $33 + Free Shipping Mens Under Armour 1/4 zip fleece @ Under Armour,"Under Armour offers all $33 Mens Under Armour 1/4 zip fleece via coupon code ""ARMOUR30"".
Free shipping.
Deal ends 11/23.",11/24/2018,11/23/2018,,7,4
UnderArmour,Expired $30 Off $100 Kids OUTLET,"Under Armour offers the $30 off $100 Kids OUTLET via coupon code ""ARMOUR30"".
Free shipping.
Deal ends 11/26.
$11.05 $13.00
$30 Off $100
Under Armour SC30 Mini Basketball | Under Armour US
$14.99 $20.00
$30 Off $100
Under Armour Boys' UA Tech™ Big Logo Solid T-Shirt | Under Armour US
$18.74 $25.00
$30 Off $100
Under Armour Girls' HeatGear® Armour Printed Bra | Under Armour US",11/23/2018,11/26/2018,,3,3
UnderArmour,Expired 30% Off + Free Shipping Sports Apparels and Shoes On Sale @ Under Armour,"Under Armour offers 30% off Sports Apparels and Shoes On Sale.
Free shipping.
$31.49 $44.99
Under Armour Men's UA Rival Fleece Fitted Graphic Hoodie | Under Armour US
$35.00 $45.00
Under Armour Men's UA Rival Fleece Logo Joggers | Under Armour US
$56.00 $80.00
Under Armour Men's UA Charged Bandit 4 Running Shoes | Under Armour US",11/19/2018,,1,68,35
UnderArmour,Expired Free Shipping Project Rock Collection @ Under Armour,"Under Armour offers New Project Rock Collection.
Free shipping.
$35.00
Under Armour Men's UA x Project Rock Brahma Canteen | Under Armour US
$250.00
Under Armour Men's UA Pro Series Rock Backpack | Under Armour US
$30.00
Under Armour Men's UA x Project Rock Veterans Day Cap | Under Armour US",11/15/2018,,,15,10
UnderArmour,Expired $30 off order of $100 Outlet Sale @ Under Armour,"Under Armour offers the $30 off orders of $100 Outlet Sale via coupon code ""TAKE30"".
Free shipping.
Deal ends 11/14.
$26.99 $44.99
Under Armour Men's UA Rival Fleece Fitted Graphic Hoodie | Under Armour US
$27.00 $45.00
Under Armour Women's UA Tech™ Twist ½ Zip | Under Armour US
$75.99 $100.00
Under Armour Women's UA Threadborne Blur Running Shoes | Under Armour US",11/14/2018,11/14/2018,,57,17
UnderArmour,Expired Up to 30% Off Shop Top Gifts for Him @ Under Armour,"Under Armour offers up to 30% off Shop Top Gifts for Him.
Free shipping on orders over $30.
Deal ends 12/24.
$130.00
Under Armour Men's UA Be Seen Sherpa Swacket | Under Armour US
$249.95
Under Armour UA Sport Wireless Train Headphones — Project Rock Edition | Under Armour US
$200.00
Under Armour Men's UA Porter 3-in-1 Jacket | Under Armour US",11/08/2018,12/24/2018,,15,4
UnderArmour,Expired Up to 40% Off Sports Wear and Shoes On Sale @ Under Armour,"Under Armour offers up to 40% off Sports Wear and Shoes On Sale.
Free shipping on orders over $30, via coupon code ""FALLFS18"".
men product
women product
men product
$29.99 $39.99
Under Armour Men's UA Star Wars Death Star Long Sleeve T-Shirt | Under Armour US
men product
$44.99 $59.99
Under Armour Men's UA Storm Armour Fleece® Joggers | Under Armour US
men product
$17.99 $29.99
Under Armour Men's UA Streaker Short Sleeve | Under Armour US",11/06/2018,,5,111,37
UnderArmour,Expired 25% Off Swacket Apparels On Sale @ Under Armour,"Under Armour offers 25% off Swacket Apparels On Sale 
Free shipping on orders over $30, via coupon code ""FALLFS18"".
Deal ends 10/28.
$89.99 $119.99
Under Armour Women's UA Swacket | Under Armour US
$89.99 $119.99
Under Armour Men's UA Swacket | Under Armour US
$90.00 $120.00
Under Armour Men's UA Hybrid Windbreaker Anorak | Under Armour US",10/28/2018,10/28/2018,4,44,18
UnderArmour,Expired Free Shipping & Free Returns Project Rock Collection @ Under Armour,"Under Armour offers Project Rock Collection.
Free shipping on orders over $30, via coupon code ""FALLFS18"".
$40.00
Under Armour Men's UA x Project Rock Brahma Long Sleeve Shirt | Under Armour US
$35.00
Under Armour Men's UA x Project Rock Bar T-Shirt | Under Armour US
$35.00
Under Armour Men's UA x Project Rock Baseline Tank | Under Armour US",10/24/2018,,4,11,6
UnderArmour,Expired New Arrivals New Arrivals @ Under Armour,"Under Armour offers New Arrivals.
Free shipping on orders over $30, via coupon code ""FALLFS18"".
$249.95
Under Armour UA Sport Wireless Train Headphones — Project Rock Edition | Under Armour US
$50.00
Under Armour Men's UA Rival Fleece Script Joggers | Under Armour US
$140.00
Under Armour Men's UA HOVR™ CGR Mid Connected Running Shoes | Under Armour US",10/19/2018,,,8,5
UnderArmour,Expired Up to 25% Off Sale @ Under Armour,"Under Armour offers 25% off sale.
Free shipping on orders over $30, via coupon code ""FALLFS18"".
$18.99 $24.99
Under Armour Men's UA Sportstyle Logo T-Shirt | Under Armour US
$33.75 $45.00
Under Armour Women's UA 24/7 Favorite Leggings | Under Armour US
$66.00 $110.00
Under Armour Men's UA Charged Paragon TN TECH | Under Armour US",10/19/2018,,8,106,58
UnderArmour,Expired Now Available Shop The New HOVR @ Under Armour,"Under Armour offers now available Shop The New HOVR.
Free shipping.
$130.00
Under Armour Men's UA HOVR Phantom Running Shoes | Under Armour US
$130.00
Under Armour Women's UA HOVR Phantom Running Shoes | Under Armour US
$110.00
Under Armour Men's UA HOVR Sonic - Pride Edition Running Shoes | Under Armour US",10/10/2018,,19,82,24
UnderArmour,Expired Up to 40% Off + FreeShipping Women's Hoodies and Sweaters On Sale @ Under Armour,"Under Armour offers extra 20% Off on Women's Hoodies and Sweaters. via coupon code ""GEARUP20"".
Free shipping on orders over $60.
$28.79 $59.99
Under Armour Women's UA Favorite Fleece Full Zip Hoodie
$23.99 $49.99
Under Armour Women's UA Fashion Favorite Exploded Logo Pullover | Under Armour US
$31.20 $65.00
Under Armour Women's UA Iridescent Woven Full Zip | Under Armour US",09/26/2018,,8,111,38
UnderArmour,Expired Extra 20% Off Women’s Outlet Footwear @ Under Armour,"Under Armour offers Women’s Outlet Footwear 40% Off + Extra 20% off via coupon code ""GEARUP20"".
Free shipping on order over $60.
  Women
Men
Women
$28.00 $70.00
Under Armour Women's UA Micro G® Pursuit Running Shoes | Under Armour US
Women
$48.00 $80.00
Under Armour Women's UA Charged Bandit 3 Ombre Running Shoes | Under Armour US
Women
$38.40 $80.00
Under Armour Women's UA Charged All-Day Shoes | Under Armour US",09/25/2018,,3,53,17
