Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
KateSpade,Expired Last Day: Extra 30% Off Sale on Sale @ kate spade,"Kate spade offers an extra 30% off Sale on Sale via coupon code "" JOYSOFSPRING"".
Free shipping.
Deal ends 4/22.
Hottest
wallet
Bags
Jewelry
Hottest
$161.00 $328.00
Kate Spade heart it sam
Hottest
$244.30 $498.00
Kate Spade nicola bicolor large tote
Hottest
$195.30 $398.00
Kate Spade heart it marci",04/23/2019,04/22/2019,125,594,402
KateSpade,Expired Today Only: $89（Org：$329） Wellesley Small Camryn Handbag @ kate spade,"Today only(4/22), kate spade offers the $89（org：$329） Wellesley Small Camryn Handbag.
Deal ends 4/22 23:59 PST.
Free shipping on orders over $99.
$89.00 $329.00
wellesley small camryn
$89.00 $329.00
Kate Spade wellesley small camryn
$89.00 $329.00
Kate Spade wellesley small camryn",04/22/2019,04/22/2019,2,11,3
KateSpade,Expired Last Day: Extra 30% Off Handbags @ kate spade,"Kate spade offers an extra 30% off Handbags via coupon code ""JOYSOFSPRING"".
Free shipping.
Deal ends 4/22.
$195.30 $398.00
Kate Spade heart it marci
$244.30 $498.00
Kate Spade nicola bicolor large tote
$146.30 $298.00
Kate Spade morley large tote",04/22/2019,04/22/2019,4,28,17
KateSpade,Expired Up To 75% Off Jewelry Sale @ kate spade,"Kate spade offers up to 75% off jewelry sale.
Free shipping on orders over $99.
Deal ends 4/23.
$19.00 $58.00
chantilly charm ear jackets
$25.00 $68.00
make magic rabbit ears ring
$25.00 $58.00
vibrant life leather studs",04/22/2019,04/23/2019,15,57,21
KateSpade,Expired Extra 30% Off Wallets & Card Case @ kate spade,"Kate spade offers an extra 30% off Wallets & Card Case via coupon code ""JOYSOFSPRING"".
Free shipping.
Deal ends 4/22.
$28.70 $58.00
Kate Spade nicola bicolor cardholder
$28.70 $58.00
Kate Spade nicola bicolor cardholder
$82.60 $168.00
Kate Spade nicola bicolor clutch wallet",04/22/2019,04/22/2019,4,67,28
KateSpade,Expired Wilson Road Bradley Backpack @ kate spade,"Today only(4/20), kate spade offers the wilson road small bradley backpack for $89.
Free shipping.
Deal ends 4/20 23:59 PST.",04/20/2019,04/20/2019,1,4,2
KateSpade,Expired $58.1（Org: $118） New York map oblong scarf @ kate spade,"Kate spade offers the $58.1（org: $118） New York map oblong scarf via coupon code "" JOYSOFSPRING"".
Free shipping.
Deal ends 4/22.
$58.10 $118.00
Kate Spade new york map oblong scarf
$43.40 $88.00
Kate Spade brooklyn scene oblong scarf",04/19/2019,04/22/2019,4,28,5
KateSpade,Expired Up To 40% Off + Extra 30% Off Shoes Sale @ kate spade,"Kate spade offers an up to 40% off + extra 30% off Shoes Sale via coupon code ""JOYSOFSPRING"".
Free shipping.
Deal ends 4/24
$67.90 $138.00
caliana slide sandals
$97.30 $198.00
daxton kitten heels
$104.30 $248.00
surie kitten heels",04/18/2019,04/24/2019,25,87,15
KateSpade,Expired Extra 30% Off Jewelry sale @ kate spade,"Kate spade offers an extra 30% off Jewelry sale via coupon code ""JOYSOFSPRING"".
Free shipping.
Deal ends 4/22.
$21.70 $52.00
Kate Spade scrunched scallops pave star bracelet
$23.80 $48.00
Kate Spade lips metal slider bracelet
$63.00 $128.00
Kate Spade heritage spade thin floral enamel bangle",04/15/2019,04/22/2019,3,34,12
KateSpade,Expired Up to 40% Off + Extra 30% Off Clothing Sale @ kate spade,"Kate spade offers an up to 40% off + extra 30% off Clothing Sale via coupon code ""JOYSOFSPRING"".
Free shipping.
Deal ends 4/24.
$419.30 $798.00
deco delacey dress
$136.50 $278.00
prairie rose clip top
$121.80 $248.00
rustic plaid fringe skirt",04/15/2019,04/24/2019,13,32,12
KateSpade,Expired New Arrivals 2019 collections @ kate spade,"Kate spade offers new arrivals 2019 collections.
Free shipping.
$348.00
Kate Spade nicola bicolor small shoulder bag
$398.00
dorie medium bucket bag
$398.00
nicola twistlock medium shoulder bag",04/11/2019,,11,27,16
KateSpade,Expired Up to 40% Off Sale @Kate Spade,"Kate spade offers up to 40% off Sale.
Free shipping.
$279.00 $398.00
Kate Spade heart it marci
$41.00 $58.00
Kate Spade blake street dot lynleigh
$153.00 $218.00
Kate Spade heart it franny",04/10/2019,,4,44,30
KateSpade,Expired New Arrival Shoes @ kate spade,"Kate spade offers new arrival Shoes.
Free shipping.
$278.00
Kate Spade cori mules
$278.00
Kate Spade coco heels
$178.00
Kate Spade fallyn flats",04/10/2019,,5,25,11
KateSpade,Expired Extended: Jackson Street Kristine @ Kate Spade,"Kate spade offers the jackson street kristine for $149 via coupon code ""PERFECT"".
Free shipping.
Deal ends 4/9
$149.00 $328.00
Kate Spade jackson street kristine
$149.00 $328.00
Kate Spade jackson street kristine
$149.00 $328.00
Kate Spade jackson street kristine",04/09/2019,04/09/2019,1,16,38
KateSpade,Expired New Arrivals Colorful Must Haves for Spring @ kate spade,"Kate spade offers new arrivals Colorful Must Haves for Spring.
Free shipping.
$798.00
Kate Spade floral dots silk dress
$498.00
Kate Spade poplin ruffle tiered dress
$448.00
Kate Spade silk open-back blouse",04/09/2019,,19,11,19
KateSpade,Expired 30% Off 2019 new Collection @ kate spade,"Kate spade offers 30% off 2019 new Collection via coupon code ""ONEBIGFAMILY"".
Free shipping.
Deal ends 3/31.
$173.60 $248.00
Kate Spade polly medium camera bag
$208.60 $298.00
Kate Spade andi canteen bag
$180.60 $258.00
Kate Spade pippa small bucket bag",04/01/2019,03/31/2019,6,4,12
KateSpade,Expired 30% Off Friends & Family Sitewide Sale @ kate spade,"Kate spade offers 30% off Sitewide Sale via coupon code ""ONEBIGFAMILY"".
Free shipping.
Deal ends 3/31.
Hot
Sale
Full-price bags
Wallet·Jewelry
Hot
$208.60 $298.00
Kate Spade andi canteen bag
Hot
$278.60 $398.00
dorie medium bucket bag
Hot
$278.60 $398.00
Kate Spade Amelia Spade Flower medium chain Shoulder Bag",04/01/2019,03/31/2019,51,195,125
